,gender,tenure,phone_services,internet_services,contract_duration,payment_method,number_customer_service_calls,phone_min,phone_monthly_charges,internet_monthly_charges,avg_monthly_bill,churn,internet_charge_per_min,gender_encoded,contract_duration_encoded,payment_method_encoded
0,Female,1,1,1,short-term,mail,2,112.2367696958375,19.082280779923494,37.33945971622629,30.425,0,0.006314214716952963,0,0,0
1,Male,1,1,1,short-term,email,1,122.3339783403355,20.79830746994436,16.97013250423661,16.891,0,0.004364655950980075,1,0,2
2,Male,1,0,1,short-term,mail,2,0.0,0.0,19.85044490638179,18.799,0,0.0067485528387794085,1,0,0
3,Female,1,1,1,short-term,mail,2,115.2137249295848,19.589317595487334,25.895611905645733,24.364,0,0.005861464388919538,0,0,0
4,Male,1,0,1,short-term,mail,2,0.0,0.0,30.4998832059683,22.259,0,0.01092870456612229,1,0,0
5,Female,1,1,1,short-term,automatic transfer,1,131.7898272452357,22.406540261881297,8.540284884964453,15.601,0,0.011753232805135932,0,0,1
6,Male,1,0,1,short-term,email,0,0.0,0.0,22.53615220412842,19.507,0,0.007826167997399805,1,0,2
7,Male,1,1,1,short-term,mail,1,118.12150231897417,20.082517935295943,40.46117240530585,28.375,0,0.011319228887215874,1,0,0
8,Male,1,1,1,short-term,email,2,119.83241950782951,20.37453736452897,41.227505623821344,28.908,0,0.008104018635008462,1,0,2
9,Male,1,0,1,short-term,mail,1,0.0,0.0,21.040254126488698,21.671,0,0.008287343788973214,1,0,0
10,Female,1,1,1,short-term,automatic transfer,1,119.0834972801134,20.24625348921101,12.40011185663883,18.262,0,0.003522658064832912,0,0,1
11,Male,1,0,1,short-term,email,2,0.0,0.0,12.560035303908734,15.968,0,0.003809912827665115,1,0,2
12,Male,1,1,1,short-term,mail,3,117.75209075839524,20.01976417308156,13.100239624313875,15.897,0,0.003382218565594966,1,0,0
13,Male,1,1,1,short-term,mail,0,126.13590815693722,21.445374436901783,28.83932444599109,25.275,0,0.00625604163817062,1,0,0
